k4,differences
0,0.06999999999999851
1,0.09999999999999787
2,0.12999999999999723
3,0.1599999999999966
4,0.18999999999999595
5,0.2199999999999953
6,0.24999999999999467
7,0.27999999999999403
8,0.3099999999999934
9,0.33999999999999275
10,0.3699999999999921
11,0.3999999999999915
12,0.42999999999999083
13,0.4599999999999902
14,0.48999999999998956
15,0.5199999999999889
16,0.5499999999999883
17,0.5799999999999876
18,0.609999999999987
19,0.6399999999999864
20,0.6699999999999857
21,0.6999999999999851
22,0.7299999999999844
23,0.7599999999999838
24,0.7899999999999832
25,0.8199999999999825
26,0.8499999999999819
27,0.8799999999999812
28,0.9099999999999806
29,0.93999999999998
30,0.9699999999999793
31,0.9999999999999787
